,QPS
Sat Feb 01 07:40:08 +0000 2020,41
Sat Feb 01 07:40:09 +0000 2020,41
Sat Feb 01 07:40:10 +0000 2020,36
Sat Feb 01 07:40:11 +0000 2020,33
Sat Feb 01 07:40:12 +0000 2020,33
Sat Feb 01 07:40:13 +0000 2020,42
Sat Feb 01 07:40:14 +0000 2020,40
Sat Feb 01 07:40:15 +0000 2020,33
Sat Feb 01 07:40:16 +0000 2020,37
Sat Feb 01 07:40:17 +0000 2020,43
Sat Feb 01 07:40:18 +0000 2020,28
Sat Feb 01 07:40:19 +0000 2020,36
Sat Feb 01 07:40:20 +0000 2020,28
Sat Feb 01 07:40:21 +0000 2020,39
Sat Feb 01 07:40:22 +0000 2020,40
Sat Feb 01 07:40:23 +0000 2020,34
Sat Feb 01 07:40:24 +0000 2020,41
Sat Feb 01 07:40:25 +0000 2020,35
Sat Feb 01 07:40:26 +0000 2020,31
Sat Feb 01 07:40:27 +0000 2020,36
Sat Feb 01 07:40:28 +0000 2020,38
Sat Feb 01 07:40:29 +0000 2020,35
Sat Feb 01 07:40:30 +0000 2020,36
Sat Feb 01 07:40:31 +0000 2020,39
Sat Feb 01 07:40:32 +0000 2020,32
Sat Feb 01 07:40:33 +0000 2020,35
Sat Feb 01 07:40:34 +0000 2020,34
Sat Feb 01 07:40:35 +0000 2020,37
Sat Feb 01 07:40:36 +0000 2020,40
Sat Feb 01 07:40:37 +0000 2020,42
Sat Feb 01 07:40:38 +0000 2020,31
Sat Feb 01 07:40:39 +0000 2020,46
Sat Feb 01 07:40:40 +0000 2020,41
Sat Feb 01 07:40:41 +0000 2020,45
Sat Feb 01 07:40:42 +0000 2020,37
Sat Feb 01 07:40:43 +0000 2020,30
Sat Feb 01 07:40:44 +0000 2020,36
Sat Feb 01 07:40:45 +0000 2020,24
Sat Feb 01 07:40:46 +0000 2020,22
Sat Feb 01 07:40:47 +0000 2020,29
Sat Feb 01 07:40:48 +0000 2020,36
Sat Feb 01 07:40:49 +0000 2020,36
Sat Feb 01 07:40:50 +0000 2020,35
Sat Feb 01 07:40:51 +0000 2020,55
Sat Feb 01 07:40:52 +0000 2020,29
Sat Feb 01 07:40:53 +0000 2020,40
Sat Feb 01 07:40:54 +0000 2020,40
Sat Feb 01 07:40:55 +0000 2020,35
Sat Feb 01 07:40:56 +0000 2020,42
Sat Feb 01 07:40:57 +0000 2020,33
Sat Feb 01 07:40:58 +0000 2020,30
Sat Feb 01 07:40:59 +0000 2020,46
Sat Feb 01 07:53:00 +0000 2020,38
Sat Feb 01 07:53:01 +0000 2020,56
Sat Feb 01 07:53:02 +0000 2020,41
Sat Feb 01 07:53:03 +0000 2020,35
Sat Feb 01 07:53:04 +0000 2020,32
Sat Feb 01 07:53:05 +0000 2020,32
Sat Feb 01 07:53:06 +0000 2020,36
Sat Feb 01 07:53:07 +0000 2020,44
Sat Feb 01 07:53:08 +0000 2020,31
Sat Feb 01 07:53:09 +0000 2020,49
Sat Feb 01 07:53:10 +0000 2020,35
Sat Feb 01 07:53:11 +0000 2020,34
Sat Feb 01 07:53:12 +0000 2020,37
Sat Feb 01 07:53:13 +0000 2020,43
Sat Feb 01 07:53:14 +0000 2020,43
Sat Feb 01 07:53:15 +0000 2020,40
Sat Feb 01 07:53:16 +0000 2020,37
Sat Feb 01 07:53:17 +0000 2020,44
Sat Feb 01 07:53:18 +0000 2020,41
Sat Feb 01 07:53:19 +0000 2020,46
Sat Feb 01 07:53:20 +0000 2020,28
Sat Feb 01 07:53:21 +0000 2020,38
Sat Feb 01 07:53:22 +0000 2020,36
Sat Feb 01 07:53:23 +0000 2020,33
Sat Feb 01 07:53:24 +0000 2020,37
Sat Feb 01 07:53:25 +0000 2020,29
Sat Feb 01 07:53:26 +0000 2020,41
Sat Feb 01 07:53:27 +0000 2020,32
Sat Feb 01 07:53:28 +0000 2020,35
Sat Feb 01 07:53:29 +0000 2020,34
Sat Feb 01 07:53:30 +0000 2020,43
Sat Feb 01 07:53:31 +0000 2020,41
Sat Feb 01 07:53:32 +0000 2020,26
Sat Feb 01 07:53:33 +0000 2020,42
Sat Feb 01 07:53:34 +0000 2020,38
Sat Feb 01 07:53:35 +0000 2020,31
Sat Feb 01 07:53:36 +0000 2020,29
Sat Feb 01 07:53:37 +0000 2020,47
Sat Feb 01 07:53:38 +0000 2020,30
Sat Feb 01 07:53:39 +0000 2020,38
Sat Feb 01 07:53:40 +0000 2020,41
Sat Feb 01 07:53:41 +0000 2020,35
Sat Feb 01 07:53:42 +0000 2020,26
Sat Feb 01 07:53:43 +0000 2020,32
Sat Feb 01 07:53:44 +0000 2020,41
Sat Feb 01 07:53:45 +0000 2020,37
Sat Feb 01 07:53:46 +0000 2020,28
Sat Feb 01 07:53:47 +0000 2020,32
Sat Feb 01 07:53:48 +0000 2020,43
Sat Feb 01 07:53:49 +0000 2020,39
Sat Feb 01 07:53:50 +0000 2020,32
Sat Feb 01 07:53:51 +0000 2020,31
Sat Feb 01 07:53:52 +0000 2020,45
Sat Feb 01 07:53:53 +0000 2020,32
Sat Feb 01 07:53:54 +0000 2020,30
Sat Feb 01 07:53:55 +0000 2020,37
Sat Feb 01 07:53:56 +0000 2020,42
Sat Feb 01 07:53:57 +0000 2020,30
Sat Feb 01 07:53:58 +0000 2020,39
Sat Feb 01 07:53:59 +0000 2020,47
